time,lat,lon,iod
1992-10-01,1.0,1.0,-0.49853247
1992-11-01,1.0,1.0,-0.055118036
1992-12-01,1.0,1.0,-0.17682968
1993-01-01,1.0,1.0,-0.086927004
1993-02-01,1.0,1.0,-0.10660305
1993-03-01,1.0,1.0,-0.2431935
1993-04-01,1.0,1.0,-0.23124215
1993-05-01,1.0,1.0,0.39685285
1993-06-01,1.0,1.0,0.034215856
1993-07-01,1.0,1.0,0.30296737
1993-08-01,1.0,1.0,-0.11222723
1993-09-01,1.0,1.0,-0.50119805
1993-10-01,1.0,1.0,-0.20598143
1993-11-01,1.0,1.0,-0.29619882
1993-12-01,1.0,1.0,-0.38895878
1994-01-01,1.0,1.0,0.2669236
1994-02-01,1.0,1.0,-0.1888582
1994-03-01,1.0,1.0,0.24895713
1994-04-01,1.0,1.0,0.4878476
1994-05-01,1.0,1.0,0.61506766
1994-06-01,1.0,1.0,0.41475233
1994-07-01,1.0,1.0,0.89895827
1994-08-01,1.0,1.0,1.1559112
1994-09-01,1.0,1.0,0.91841584
1994-10-01,1.0,1.0,1.6928041
1994-11-01,1.0,1.0,0.1691404
1994-12-01,1.0,1.0,-0.18355674
1995-01-01,1.0,1.0,-0.139829
1995-02-01,1.0,1.0,0.5580001
1995-03-01,1.0,1.0,0.20720467
1995-04-01,1.0,1.0,-0.03293883
1995-05-01,1.0,1.0,0.15541269
1995-06-01,1.0,1.0,-0.0030003425
1995-07-01,1.0,1.0,-0.46213543
1995-08-01,1.0,1.0,-0.32772186
1995-09-01,1.0,1.0,-0.17701137
1995-10-01,1.0,1.0,-0.19687743
1995-11-01,1.0,1.0,-0.61946446
1995-12-01,1.0,1.0,0.41629806
1996-01-01,1.0,1.0,0.3709611
1996-02-01,1.0,1.0,0.41013044
1996-03-01,1.0,1.0,-0.12332395
1996-04-01,1.0,1.0,-0.42687792
1996-05-01,1.0,1.0,-0.3792331
1996-06-01,1.0,1.0,-0.3186473
1996-07-01,1.0,1.0,-0.52820456
1996-08-01,1.0,1.0,-0.9832165
1996-09-01,1.0,1.0,-0.63818157
1996-10-01,1.0,1.0,-1.2366496
1996-11-01,1.0,1.0,-0.9122106
1996-12-01,1.0,1.0,-0.32359725
1997-01-01,1.0,1.0,-0.017597899
1997-02-01,1.0,1.0,0.1901654
1997-03-01,1.0,1.0,-0.0131372465
1997-04-01,1.0,1.0,-0.14457119
1997-05-01,1.0,1.0,-0.21543226
1997-06-01,1.0,1.0,-0.006688045
1997-07-01,1.0,1.0,0.9853915
1997-08-01,1.0,1.0,0.4529619
1997-09-01,1.0,1.0,0.72655314
1997-10-01,1.0,1.0,1.4919038
1997-11-01,1.0,1.0,1.5973656
1997-12-01,1.0,1.0,0.57255656
1998-01-01,1.0,1.0,0.50586224
1998-02-01,1.0,1.0,0.2841076
1998-03-01,1.0,1.0,-0.356189
1998-04-01,1.0,1.0,-0.23207225
1998-05-01,1.0,1.0,-0.006889588
1998-06-01,1.0,1.0,0.13221925
1998-07-01,1.0,1.0,-0.62189174
1998-08-01,1.0,1.0,-0.9713952
1998-09-01,1.0,1.0,-0.7792604
1998-10-01,1.0,1.0,-0.9420076
1998-11-01,1.0,1.0,-0.8879835
1998-12-01,1.0,1.0,-0.36632636
1999-01-01,1.0,1.0,-0.46295527
1999-02-01,1.0,1.0,-0.18112859
1999-03-01,1.0,1.0,0.06743808
1999-04-01,1.0,1.0,-0.0293018
1999-05-01,1.0,1.0,-0.4216318
1999-06-01,1.0,1.0,-0.22369738
1999-07-01,1.0,1.0,0.06977872
1999-08-01,1.0,1.0,-0.13312913
1999-09-01,1.0,1.0,0.077908024
1999-10-01,1.0,1.0,-0.50899583
1999-11-01,1.0,1.0,-0.3299311
1999-12-01,1.0,1.0,-0.07567554
2000-01-01,1.0,1.0,0.16942048
2000-02-01,1.0,1.0,0.38224593
2000-03-01,1.0,1.0,0.67878425
2000-04-01,1.0,1.0,0.5348687
2000-05-01,1.0,1.0,0.29660195
2000-06-01,1.0,1.0,-0.18394746
2000-07-01,1.0,1.0,0.3676686
2000-08-01,1.0,1.0,0.124581695
2000-09-01,1.0,1.0,0.08675766
2000-10-01,1.0,1.0,-0.27925336
2000-11-01,1.0,1.0,0.15303421
2000-12-01,1.0,1.0,0.1621653
2001-01-01,1.0,1.0,0.28845328
2001-02-01,1.0,1.0,0.39654988
2001-03-01,1.0,1.0,0.6320577
2001-04-01,1.0,1.0,0.19039176
2001-05-01,1.0,1.0,0.035566103
2001-06-01,1.0,1.0,0.032883
2001-07-01,1.0,1.0,-0.6305533
2001-08-01,1.0,1.0,-0.5050166
2001-09-01,1.0,1.0,-0.37485337
2001-10-01,1.0,1.0,-0.28737897
2001-11-01,1.0,1.0,0.06565647
2001-12-01,1.0,1.0,0.13944827
2002-01-01,1.0,1.0,0.028947964
2002-02-01,1.0,1.0,0.04428496
2002-03-01,1.0,1.0,-0.15804924
2002-04-01,1.0,1.0,-0.3951653
2002-05-01,1.0,1.0,-0.65543514
2002-06-01,1.0,1.0,-0.212087
2002-07-01,1.0,1.0,-0.43056577
2002-08-01,1.0,1.0,-0.24727269
2002-09-01,1.0,1.0,0.48126432
2002-10-01,1.0,1.0,0.4700145
2002-11-01,1.0,1.0,0.4111808
2002-12-01,1.0,1.0,-0.13941655
2003-01-01,1.0,1.0,-0.2930961
2003-02-01,1.0,1.0,0.24622561
2003-03-01,1.0,1.0,0.27489242
2003-04-01,1.0,1.0,-0.0070789643
2003-05-01,1.0,1.0,0.20938508
2003-06-01,1.0,1.0,0.43799952
2003-07-01,1.0,1.0,0.5966081
2003-08-01,1.0,1.0,0.577678
2003-09-01,1.0,1.0,-0.028569782
2003-10-01,1.0,1.0,-0.092073694
2003-11-01,1.0,1.0,-0.32432824
2003-12-01,1.0,1.0,0.16554764
2004-01-01,1.0,1.0,-0.08276076
2004-02-01,1.0,1.0,0.050464213
2004-03-01,1.0,1.0,0.28020024
2004-04-01,1.0,1.0,-0.42535737
2004-05-01,1.0,1.0,-0.16082661
2004-06-01,1.0,1.0,-0.4118142
2004-07-01,1.0,1.0,-0.43389904
2004-08-01,1.0,1.0,0.0040066293
2004-09-01,1.0,1.0,-0.020531878
2004-10-01,1.0,1.0,0.03137314
2004-11-01,1.0,1.0,-0.23391268
2004-12-01,1.0,1.0,-0.05208316
2005-01-01,1.0,1.0,-0.17523278
2005-02-01,1.0,1.0,-0.814408
2005-03-01,1.0,1.0,-0.71064675
2005-04-01,1.0,1.0,0.07543769
2005-05-01,1.0,1.0,0.051479485
2005-06-01,1.0,1.0,0.02399953
2005-07-01,1.0,1.0,-0.506447
2005-08-01,1.0,1.0,-0.4392848
2005-09-01,1.0,1.0,-0.45547986
2005-10-01,1.0,1.0,-0.5164024
2005-11-01,1.0,1.0,-0.37538686
2005-12-01,1.0,1.0,-0.3994764
2006-01-01,1.0,1.0,-0.11878879
2006-02-01,1.0,1.0,-0.6585336
2006-03-01,1.0,1.0,-0.1784233
2006-04-01,1.0,1.0,0.15858315
2006-05-01,1.0,1.0,-0.16334575
2006-06-01,1.0,1.0,-0.3087307
2006-07-01,1.0,1.0,-0.17909934
2006-08-01,1.0,1.0,0.32531914
2006-09-01,1.0,1.0,0.72123516
2006-10-01,1.0,1.0,1.1045755
2006-11-01,1.0,1.0,0.9573005
2006-12-01,1.0,1.0,0.5330901
2007-01-01,1.0,1.0,0.2515496
2007-02-01,1.0,1.0,-0.29126003
2007-03-01,1.0,1.0,0.24308108
2007-04-01,1.0,1.0,0.21283542
2007-05-01,1.0,1.0,0.38090917
2007-06-01,1.0,1.0,0.45154122
2007-07-01,1.0,1.0,0.47192082
2007-08-01,1.0,1.0,0.43337494
2007-09-01,1.0,1.0,0.38211372
2007-10-01,1.0,1.0,-0.059825167
2007-11-01,1.0,1.0,-0.31554428
2007-12-01,1.0,1.0,-0.30850303
2008-01-01,1.0,1.0,0.101268195
2008-02-01,1.0,1.0,-0.43146622
2008-03-01,1.0,1.0,-0.039313525
2008-04-01,1.0,1.0,-0.43377155
2008-05-01,1.0,1.0,0.26819494
2008-06-01,1.0,1.0,0.40687817
2008-07-01,1.0,1.0,0.62096244
2008-08-01,1.0,1.0,0.43231136
2008-09-01,1.0,1.0,-0.42871478
2008-10-01,1.0,1.0,-0.051991433
2008-11-01,1.0,1.0,-0.33224276
2008-12-01,1.0,1.0,-0.41267103
2009-01-01,1.0,1.0,-0.06795666
2009-02-01,1.0,1.0,0.33905482
2009-03-01,1.0,1.0,0.47989404
2009-04-01,1.0,1.0,0.10860689
2009-05-01,1.0,1.0,0.16360416
2009-06-01,1.0,1.0,0.08130406
2009-07-01,1.0,1.0,-0.40179145
2009-08-01,1.0,1.0,-0.43681937
2009-09-01,1.0,1.0,-0.27558258
2009-10-01,1.0,1.0,-0.074650735
2009-11-01,1.0,1.0,-0.30732346
2009-12-01,1.0,1.0,0.47614905
2010-01-01,1.0,1.0,0.48720285
2010-02-01,1.0,1.0,0.33178443
2010-03-01,1.0,1.0,0.4212698
2010-04-01,1.0,1.0,0.53894836
2010-05-01,1.0,1.0,-0.44866443
2010-06-01,1.0,1.0,0.011466163
2010-07-01,1.0,1.0,-0.05478701
2010-08-01,1.0,1.0,-0.14076596
2010-09-01,1.0,1.0,-0.6910751
2010-10-01,1.0,1.0,-0.9944373
2010-11-01,1.0,1.0,-0.4929311
2010-12-01,1.0,1.0,-0.23287924
2011-01-01,1.0,1.0,-0.10760012
2011-02-01,1.0,1.0,-0.14855936
2011-03-01,1.0,1.0,-0.12619956
2011-04-01,1.0,1.0,-0.061581995
2011-05-01,1.0,1.0,-0.07181194
2011-06-01,1.0,1.0,0.10997159
2011-07-01,1.0,1.0,0.08485942
2011-08-01,1.0,1.0,0.44808438
2011-09-01,1.0,1.0,0.43700814
2011-10-01,1.0,1.0,0.49750808
2011-11-01,1.0,1.0,0.12991004
2011-12-01,1.0,1.0,-0.0056529343
2012-01-01,1.0,1.0,-0.0036245608
2012-02-01,1.0,1.0,-0.2319542
2012-03-01,1.0,1.0,0.03656692
2012-04-01,1.0,1.0,-0.577585
2012-05-01,1.0,1.0,-0.57091564
2012-06-01,1.0,1.0,0.06904756
2012-07-01,1.0,1.0,0.7063402
2012-08-01,1.0,1.0,1.06576
2012-09-01,1.0,1.0,1.0111965
2012-10-01,1.0,1.0,0.34576818
2012-11-01,1.0,1.0,-0.046553027
2012-12-01,1.0,1.0,0.26885578
2013-01-01,1.0,1.0,0.25228235
2013-02-01,1.0,1.0,-0.070464455
2013-03-01,1.0,1.0,-0.11682741
2013-04-01,1.0,1.0,-0.201298
2013-05-01,1.0,1.0,-0.43465558
2013-06-01,1.0,1.0,-0.2819683
2013-07-01,1.0,1.0,-0.4628448
2013-08-01,1.0,1.0,-0.13913706
2013-09-01,1.0,1.0,-0.3164871
2013-10-01,1.0,1.0,-0.1770323
2013-11-01,1.0,1.0,-0.105694436
2013-12-01,1.0,1.0,-0.2717274
2014-01-01,1.0,1.0,-0.07051558
2014-02-01,1.0,1.0,-0.011353915
2014-03-01,1.0,1.0,-0.05925308
2014-04-01,1.0,1.0,-0.09641704
2014-05-01,1.0,1.0,0.31035167
2014-06-01,1.0,1.0,0.031027092
2014-07-01,1.0,1.0,-0.30227527
2014-08-01,1.0,1.0,-0.6587346
2014-09-01,1.0,1.0,-0.32800448
2014-10-01,1.0,1.0,-0.030286225
2014-11-01,1.0,1.0,0.1028819
2014-12-01,1.0,1.0,-0.20863621
2015-01-01,1.0,1.0,-0.41351202
2015-02-01,1.0,1.0,-0.21172617
2015-03-01,1.0,1.0,0.090842396
2015-04-01,1.0,1.0,0.2436167
2015-05-01,1.0,1.0,0.17811798
2015-06-01,1.0,1.0,0.1956841
